ordre;famille;cd_nom;lb_nom;nom_vern;habitat;statut;url
sseriformes;Zosteropidae;418443;Zosteropidae;;0;;
Pelecaniformes;Sulidae;199222;Morus;;1;P;
Pelecaniformes;Sulidae;731221;Papasula;;1;;
Pelecaniformes;Sulidae;731222;Papasula abbotti;Fou d'Abbott;1;;https://inpn.mnhn.fr/espece/cd_nom/731222
Pelecaniformes;Sulidae;198097;Sula;;1;;
Charadriiformes;Scolopacidae;196060;Phalaropus;;1;P;
Charadriiformes;Scolopacidae;417281;Prosobonia;;1;;
Charadriiformes;Scolopacidae;198651;Tringa;;1;P;
Procellariiformes;Procellariidae;186042;Procellariidae;;1;P;
Procellariiformes;Procellariidae;524331;Pelecanoididae;;1;P;
Procellariiformes;Procellariidae;669477;Aphrodroma;;1;;
Procellariiformes;Procellariidae;190113;Bulweria;;1;P;
Procellariiformes;Procellariidae;190235;Calonectris;;1;P;
Procellariiformes;Procellariidae;192646;Fulmarus;;1;P;
Procellariiformes;Procellariidae;669372;Pachyptila vittata;Prion de Forster;1;;https://inpn.mnhn.fr/espece/cd_nom/669372
Procellariiformes;Procellariidae;774029;Procellaria conspicillata;;1;;https://inpn.mnhn.fr/espece/cd_nom/774029
Procellariiformes;Procellariidae;440580;Pseudobulweria;;1;;
Procellariiformes;Procellariidae;698727;Pseudobulweria rostrata rostrata;;1;;https://inpn.mnhn.fr/espece/cd_nom/698727
Procellariiformes;Procellariidae;199220;Pterodroma;;1;P;
Procellariiformes;Procellariidae;196930;Puffinus;;1;P;
Procellariiformes;Procellariidae;520926;Puffinus bulleri;;1;;https://inpn.mnhn.fr/espece/cd_nom/520926
Procellariiformes;Procellariidae;692221;Ardenna bulleri;;1;;https://inpn.mnhn.fr/espece/cd_nom/692221
Pelecaniformes;Phalacrocoracidae;196055;Phalacrocorax;;1;P;
Phaethontiformes;Phaethontidae;199221;Phaethon;;1;;
Pelecaniformes;Pelecanidae;195906;Pelecanus;;1;P;
Procellariiformes;Oceanitidae;351924;Oceanitidae;;1;P;
Procellariiformes;Oceanitidae;525486;Oceanitinae;;1;P;
Procellariiformes;Oceanitidae;440401;Garrodia;;1;;
Procellariiformes;Oceanitidae;440512;Nesofregetta;;1;;
Procellariiformes;Oceanitidae;195317;Oceanites;;1;P;
Charadriiformes;Laridae;190717;Chlidonias;;1;P;
Charadriiformes;Laridae;418432;Gygis;;1;;
